"id","table_schema","table_name","file_column_name","db_column_name","column_type","column_required","value_required","grouping"
1,"smps","sample_analysis","Scan Number","scan_number","int64",True,True,NULL
2,"smps","sample_analysis","DateTime Sample Start","sample_start","TIMESTAMP",True,True,NULL
3,"smps","sample_analysis","Test Name","test_name","VARCHAR(256)",True,True,NULL
4,"smps","sample_analysis","Detector Status","detector_status","VARCHAR(256)",True,True,NULL
5,"smps","sample_analysis","Classifier Errors","classifier_errors","VARCHAR(256)",True,True,NULL
6,"smps","sample_analysis","Communication Status","communication_status","VARCHAR(256)",True,True,NULL
7,"smps","sample_analysis","Neutralizer Status","neutralizer_status","VARCHAR(256)",True,True,NULL
8,"smps","sample_analysis","Detector Inlet Flow (L/min)","detector_inlet_flow","float64",True,True,NULL
9,"smps","sample_analysis","Detector Counting Flow (L/min)","detector_counting_flow","float64",True,True,NULL
10,"smps","sample_analysis","Impactor Flow (L/min)","impactor_flow","float64",True,True,NULL
11,"smps","sample_analysis","Impactor D50 (nm)","impactor_d50","float64",True,True,NULL
12,"smps","sample_analysis","Sheath Flow (L/min)","sheath_flow","float64",True,True,NULL
13,"smps","sample_analysis","Sheath Temp (C)","sheath_temp","float64",True,True,NULL
14,"smps","sample_analysis","Sheath Pressure (kPa)","sheath_pressure","float64",True,True,NULL
15,"smps","sample_analysis","Sheath Relative Humidity (%)","sheath_relative_humidity","float64",True,True,NULL
16,"smps","sample_analysis","Mean Free Path (m)","mean_free_path","float64",True,True,NULL
17,"smps","sample_analysis","Gas Viscosity (Pa*s)","gas_viscosity","float64",True,True,NULL
18,"smps","sample_analysis","Low Voltage (V)","low_voltage","float64",True,True,NULL
19,"smps","sample_analysis","High Voltage (V)","high_voltage","float64",True,True,NULL
20,"smps","sample_analysis","Lower Size (nm)","lower_size","float64",True,True,NULL
21,"smps","sample_analysis","Upper Size (nm)","upper_size","float64",True,True,NULL
22,"smps","sample_analysis","Wide Range Scan Mode","wide_range_scan_mode","int64",True,True,NULL
23,"smps","sample_analysis","Scan Direction","scan_direction","VARCHAR(256)",True,True,NULL
24,"smps","sample_analysis","HV Polarity","hv_polarity","VARCHAR(256)",True,True,NULL
25,"smps","sample_analysis","DMA V Ramping Up (TUP) (s)","dma_v_ramping_up","float64",True,True,NULL
26,"smps","sample_analysis","DMA V Ramping Down (TDOWN) (s)","dma_v_ramping_down","float64",True,True,NULL
27,"smps","sample_analysis","DMA Column transit time Tf (s)","dma_column_transit_time","float64",True,True,NULL
28,"smps","sample_analysis","DMA Exit to Optical Detector Td (s)","dma_exit_to_optical_detector","float64",True,True,NULL
29,"smps","sample_analysis","DMA at Low Voltage (TLOW) (s)","dma_at_low_voltage","float64",True,True,NULL
30,"smps","sample_analysis","DMA at High Voltage (THIGH) (s)","dma_at_high_voltage","float64",True,True,NULL
31,"smps","sample_analysis","Adjustment (s)","adjustment","float64",True,True,NULL
32,"smps","sample_analysis","Dilution Factor","dilution_factor","float64",True,True,NULL
33,"smps","sample_analysis","Aerosol Density (g/cm³)","aerosol_density","float64",True,True,NULL
34,"smps","sample_analysis","Median (nm)","median","float64",True,True,NULL
35,"smps","sample_analysis","Mean (nm)","mean","float64",True,True,NULL
