"element","element_name","atomic_number","unit"
"Al","Aluminum",13,"ng/m3"
"Si","Silicon",14,"ng/m3"
"P","Phosphorus",15,"ng/m3"
"S","Sulphur",16,"ng/m3"
"Cl","Chlorine",17,"ng/m3"
"K","Potassium",19,"ng/m3"
"Ca","Calcium",20,"ng/m3"
"Sc","Scandium",21,"ng/m3"
"Ti","Titanium",22,"ng/m3"
"V","Vanadium",23,"ng/m3"
"Cr","Chromium",24,"ng/m3"
"Mn","Manganese",25,"ng/m3"
"Fe","Iron",26,"ng/m3"
"Co","Cobalt",27,"ng/m3"
"Ni","Nickel",28,"ng/m3"
"Cu","Copper",29,"ng/m3"
"Zn","Zinc",30,"ng/m3"
"Ga","Gallium",31,"ng/m3"
"Ge","Germanium",32,"ng/m3"
"As","Arsenic",33,"ng/m3"
"Se","Selenium",34,"ng/m3"
"Br","Bromine",35,"ng/m3"
"Rb","Rubidium",37,"ng/m3"
"Sr","Strontium",38,"ng/m3"
"Y","Yttrium",39,"ng/m3"
"Zr","Zirconium",40,"ng/m3"
"Nb","Niobium",41,"ng/m3"
"Mo","Molybdenum",42,"ng/m3"
"Pd","Palladium",46,"ng/m3"
"Ag","Silver",47,"ng/m3"
"Cd","Cadmium",48,"ng/m3"
"In","Indium",49,"ng/m3"
"Sn","Tin",50,"ng/m3"
"Sb","Antimony",51,"ng/m3"
"Te","Tellurium",52,"ng/m3"
"I","Iodine",53,"ng/m3"
"Cs","Cesium",55,"ng/m3"
"Ba","Barium",56,"ng/m3"
"La","Lanthanum",57,"ng/m3"
"Ce","Cerium",58,"ng/m3"
"W","Tungsten",74,"ng/m3"
"Pt","Platinum",78,"ng/m3"
"Au","Gold",79,"ng/m3"
"Hg","Mercury",80,"ng/m3"
"Tl","Thallium",81,"ng/m3"
"Pb","Lead",82,"ng/m3"
"Bi","Bismuth",83,"ng/m3"
