"param","unit","description"
"bp","mmHg","Ambient pressure"
"tape","mmHg","Tape pressure"
"volume","L","Volume of air sampled"
"filament","V","Filament voltage"
"wind","m/s","Vector wind speed"
"sample_time","min","Sample duration"
"date_imported","UTC","Date imported to site database"
"pump_start_time","UTC","Pump start datetime"
"alarm","","Instrument alarm code"
"flow_act","L/min","Actual calibrated flow at ambient conditions"
"flow_std","L/min","Flow at standard conditions (25 C, 760 mmHg)"
"flow_25","L/min","Raw uncalibrated flow reading"
"rh","percent","Relative humidity within sampling line"
"wind_dir","degrees","Wind direction"
"sample","degC","Sample temperature"
"tube","degC","Tube temperature"
"enclosure","degC","Enclosure temperature"
"sdd","degC","Silicon drift detector temperature"
"dpp","degC","Digital pulse processor temperature"
"at","degC","Ambient temperature"
