site_number,Site,Statement for IE from Sites,Revised Statement for IE /RIE,Statement for CE from sites,Revised Statement for CE 
1,1. Delta Junction,Step-wise IE values were used following each calibration,Step-wise IE/RIE values were used following each calibration,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5
2,2. Cheeka Peak/Makah,A single calibration value for the IE/RIE values was used for 2023. Average IE/RIE values from two calibrations were used for 2024,One set of IE/RIE values was used in 2023. Average IE/RIE values from 2 calibrations were used in 2024,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5
3,3. LA - Pico Rivera,One set of IE/RIE values was used from 2023-07-07 through 2023-9-21;  Average IE/RIE values from 2 calibrations were used from 2023-09-21 through 2023-12-25; One set of IE/RIE values was used from 2023-12-21 through 2024-2-13; One set of IE/RIE values was used from 2024-4-26 through 2024-5-9; Average IE/RIE values from 2 calibrations were used from 2024-5-10 through 2024-6-5; One set of IE/RIE values was used from 2024-6-9 through 2024-7-27; One set of IE/RIE values was used from 2024-7-29 through 2024-8-6;  One set of IE/RIE values was used from 2024-8-11 through 2024-11-7; One set of IE/RIE values was used from 2024-11-8 through 2024-12-12,One set of IE/RIE values was used from 2023-07-07 through 2023-9-21;  Average IE/RIE values from 2 calibrations were used from 2023-09-21 through 2023-12-25; One set of IE/RIE values was used from 2023-12-21 through 2024-2-13; One set of IE/RIE values was used from 2024-4-26 through 2024-5-9; Average IE/RIE values from 2 calibrations were used from 2024-5-10 through 2024-6-5; One set of IE/RIE values was used from 2024-6-9 through 2024-7-27; One set of IE/RIE values was used from 2024-7-29 through 2024-8-6;  One set of IE/RIE values was used from 2024-8-11 through 2024-11-7; One set of IE/RIE values was used from 2024-11-8 through 2024-12-12,CDCE output was used for periods of high ammonium nitrate mass fraction; for other periods CE=0.5,CDCE output was used for periods of high ammonium nitrate mass fraction; for other periods CE=0.5
4,4. Rubidoux,Average IE/RIE values from 3 calibrations were used for 9/21/2023-3/26/2024; A single calibration value was used for 6/12/2024-10/30/2024; A single calibration value was used for 12/9/2024-12/31/2024,Average IE/RIE values from 3 calibrations were used from 2023-09-21 through 2024-03-26; One set of IE/RIE values was used from 2024-06-12 through 2024-10-30; One set of IE/RIE values was used from 2024-12-09 through 2024-12-31,CDCE output was used for periods of high ammonium nitrate mass fraction; for other periods CE=0.5,CDCE output was used for periods of high ammonium nitrate mass fraction; for other periods CE=0.5
5,5. Joshua Tree,Average IE/RIE values from two calibrations were used,Average IE/RIE values from 2 calibrations were used,"CDCE output was used for periods suspected of acidic aerosol; for other periods, CE = 0.5","CDCE output was used for periods suspected of acidic aerosol; for other periods, CE = 0.5"
6,6. Yellowstone,Average value of 5 IE/RIE calibrations applied to all experiments with start date in 2023. Average value of 4 IE/RIE calibrations applied to all experiments with start date in 2024.,Average IE/RIE values from 5 calibrations were used in 2023. Average IE/RIE values from 4 calibrations were used in 2024,CE=0.5 was assumed for all data. Confirmed that no data showed compositions requiring CDCE.,CE=0.5 was assumed for all data. 
7,7. La Casa,Step-wise IE values were used following each calibration,Step-wise IE/RIE values were used following each calibration,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5,CDCE output was used for periods suspected of acidic aerosol; for other periods CE=0.5
8,8. Houston UH West,Average of three IE/RIE calibrations performed in October and November 2024 applied to entire 2024 dataset,Average IE/RIE values from 3 calibrations were used ,"CDCE output was used for periods suspected of acidic aerosol; for other periods, CE = 0.5","CDCE output was used for periods suspected of acidic aerosol; for other periods, CE = 0.5"
9,9. Lawrenceville,Step-wise IE values were used for each calibration. Data were ananlyzed in chunks following each IE cal.,Step-wise IE/RIE values were used following each calibration,CDCE was used for all data,CDCE output was used for all data
10,10. Queens College,Average of 5 IE/RIE calibrations applied to 07/05/2022-04/19/2024; Average of 3 IE/RIE calibrations applied between 04/19/2024-12/31/2024,Average IE/RIE values from 5 calibrations were used from 2022-07-05 through 2024-04-19; Average IE/RIE values from 3 calibrations were used from 2024-04-19 through 2024-12-31,"CDCE output was used for periods of high ammonium nitrate or suspected acidic aerosol; for other periods, CE = 0.5","CDCE output was used for periods of high ammonium nitrate or suspected acidic aerosol; for other periods, CE = 0.5"
